public_id,folder,filename,format,version,resource_type,type,created_at,uploaded_at,bytes,backup_bytes,width,height,aspect_ratio,pixels,url,secure_url,status,access_mode,access_control,etag,created_by,uploaded_by
minimalistic-wallpapers-collection-themefoxx_289_cfwbm2,"",minimalistic-wallpapers-collection-themefoxx_289_cfwbm2,jpg,1580933070,image,upload,2020-02-05T20:04:30+00:00,2020-02-05T20:04:30+00:00,35634,0,1280,1024,1.25,1310720,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933070/minimalistic-wallpapers-collection-themefoxx_289_cfwbm2.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933070/minimalistic-wallpapers-collection-themefoxx_289_cfwbm2.jpg",active,public,"",00b1b6390afb13fd316728299ede1646,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_288_uubzct,"",minimalistic-wallpapers-collection-themefoxx_288_uubzct,jpg,1580933069,image,upload,2020-02-05T20:04:29+00:00,2020-02-05T20:04:29+00:00,39003,0,1920,1080,1.77778,2073600,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933069/minimalistic-wallpapers-collection-themefoxx_288_uubzct.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933069/minimalistic-wallpapers-collection-themefoxx_288_uubzct.jpg",active,public,"",8e30dd2ae88c49355763d5f4fad3a26f,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_287_igxxjw,"",minimalistic-wallpapers-collection-themefoxx_287_igxxjw,jpg,1580933066,image,upload,2020-02-05T20:04:26+00:00,2020-02-05T20:04:26+00:00,98353,0,1280,800,1.6,1024000,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933066/minimalistic-wallpapers-collection-themefoxx_287_igxxjw.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933066/minimalistic-wallpapers-collection-themefoxx_287_igxxjw.jpg",active,public,"",8aefb518fe7cf4c335c86213fe06767e,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_285_sdc1qy,"",minimalistic-wallpapers-collection-themefoxx_285_sdc1qy,jpg,1580933066,image,upload,2020-02-05T20:04:26+00:00,2020-02-05T20:04:26+00:00,17176,0,1280,960,1.33333,1228800,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933066/minimalistic-wallpapers-collection-themefoxx_285_sdc1qy.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933066/minimalistic-wallpapers-collection-themefoxx_285_sdc1qy.jpg",active,public,"",3eb1026ae24e20f277739fb666c4cec8,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_286_p1jgct,"",minimalistic-wallpapers-collection-themefoxx_286_p1jgct,jpg,1580933066,image,upload,2020-02-05T20:04:26+00:00,2020-02-05T20:04:26+00:00,23545,0,1280,800,1.6,1024000,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933066/minimalistic-wallpapers-collection-themefoxx_286_p1jgct.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933066/minimalistic-wallpapers-collection-themefoxx_286_p1jgct.jpg",active,public,"",6688b6edb499d8342a155953fc62b275,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_284_zcpzou,"",minimalistic-wallpapers-collection-themefoxx_284_zcpzou,jpg,1580933066,image,upload,2020-02-05T20:04:26+00:00,2020-02-05T20:04:26+00:00,39460,0,1934,1209,1.59967,2338206,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933066/minimalistic-wallpapers-collection-themefoxx_284_zcpzou.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933066/minimalistic-wallpapers-collection-themefoxx_284_zcpzou.jpg",active,public,"",1593de7c419bac6b1608cc61f4670a06,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_283_araazw,"",minimalistic-wallpapers-collection-themefoxx_283_araazw,jpg,1580933064,image,upload,2020-02-05T20:04:24+00:00,2020-02-05T20:04:24+00:00,326849,0,1920,1200,1.6,2304000,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933064/minimalistic-wallpapers-collection-themefoxx_283_araazw.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933064/minimalistic-wallpapers-collection-themefoxx_283_araazw.jpg",active,public,"",c9374dc7116f2f437d8ba0023d0a961c,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_279_sp6t0v,"",minimalistic-wallpapers-collection-themefoxx_279_sp6t0v,jpg,1580933062,image,upload,2020-02-05T20:04:22+00:00,2020-02-05T20:04:22+00:00,220761,0,1920,1200,1.6,2304000,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933062/minimalistic-wallpapers-collection-themefoxx_279_sp6t0v.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933062/minimalistic-wallpapers-collection-themefoxx_279_sp6t0v.jpg",active,public,"",d82341b3d2181ba35dd0e6cf74744a0a,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_278_xrtfpp,"",minimalistic-wallpapers-collection-themefoxx_278_xrtfpp,jpg,1580933062,image,upload,2020-02-05T20:04:22+00:00,2020-02-05T20:04:22+00:00,212464,0,1680,1050,1.6,1764000,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933062/minimalistic-wallpapers-collection-themefoxx_278_xrtfpp.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933062/minimalistic-wallpapers-collection-themefoxx_278_xrtfpp.jpg",active,public,"",ecd6f6cdd97afa43ff074faa9f8f692d,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
minimalistic-wallpapers-collection-themefoxx_280_st2waf,"",minimalistic-wallpapers-collection-themefoxx_280_st2waf,jpg,1580933062,image,upload,2020-02-05T20:04:22+00:00,2020-02-05T20:04:22+00:00,172909,0,1280,800,1.6,1024000,"http://res.cloudinary.com/dbnuvqzms/image/upload/v1580933062/minimalistic-wallpapers-collection-themefoxx_280_st2waf.jpg","https://res.cloudinary.com/dbnuvqzms/image/upload/v1580933062/minimalistic-wallpapers-collection-themefoxx_280_st2waf.jpg",active,public,"",c3f76d31fe2e62ba86dd354f5d19e421,"access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5","access_key:469833719843844,custom_id:admin@gomoodly.com,external_id:e7dda5a59ad13dc0fdb92abab97fc5"
